album_id,artist_id
AL1,A1
AL2,A2
AL3,A3
AL3,A4
AL4,A5
AL5,A6
AL6,A7
AL7,A8
AL7,A9
AL8,A10
AL8,A11
AL9,A12
AL10,A13
AL11,A10
AL12,A14
AL13,A15
AL14,A6
AL14,A16
AL15,A17
AL16,A18
AL16,A19
AL17,A18
AL17,A19
AL18,A20
AL18,A21
AL19,A20
AL19,A22
AL20,A8
AL20,A9
AL21,A10
AL22,A10
AL23,A10
AL24,A10
AL25,A10
AL26,A10
AL27,A10
AL28,A10
AL29,A10
AL30,A6
AL22,A23
AL22,A24
AL25,A23
AL25,A24
AL31,A23
AL31,A24
AL32,A25
AL33,A23
AL21,A23
AL34,A25
AL35,A26
AL23,A23
AL36,A23
AL36,A27
AL37,A23
AL37,A27
AL38,A23
AL39,A23
AL39,A27
AL40,A23
AL40,A27
AL41,A23
AL41,A27
AL42,A23
AL42,A27
AL43,A23
AL43,A27
AL44,A28
AL45,A29
AL46,A30
AL47,A31
AL48,A32
AL49,A33
AL50,A6
AL51,A34
AL52,A6
AL53,A13
AL54,A30
AL55,A35
AL19,A21
AL56,A36
AL57,A37
AL58,A38
AL59,A34
AL60,A30
AL61,A39
AL62,A31
AL63,A40
AL64,A30
AL65,A41
AL66,A3
AL67,A8
AL68,A26
AL68,A42
AL69,A43
AL70,A10
AL23,A44
AL71,A44
AL72,A26
AL73,A44
AL21,A44
AL74,A34
AL75,A25
AL76,A25
AL77,A40
AL75,A45
AL78,A45
AL78,A25
AL79,A45
AL76,A45
AL32,A45
AL34,A45
AL30,A45
AL80,A25
AL81,A25
AL82,A29
AL83,A46
AL84,A30
AL19,A47
AL85,A20
AL86,A44
AL86,A48
AL87,A49
AL88,A50
AL89,A51
AL90,A39
AL91,A20
AL92,A30
AL93,A2
AL94,A52
AL95,A53
AL96,A18
AL96,A19
AL97,A5
AL98,A10
AL99,A54
AL99,A55
AL100,A56
AL101,A57
AL102,A58
AL103,A12
AL104,A59
AL105,A2
AL106,A60
AL107,A61
AL108,A62
AL109,A63
AL110,A64
AL111,A64
AL112,A10
AL113,A44
AL114,A25
AL115,A59
AL116,A65
AL116,A66
AL117,A39
AL117,A67
AL117,A5
AL118,A60
AL119,A68
AL119,A69
AL120,A20
AL120,A70
AL121,A6
AL122,A40
AL123,A30
AL124,A63
AL125,A71
AL126,A72
AL127,A10
AL128,A73
AL129,A8
AL129,A9
AL130,A64
AL131,A13
AL131,A74
AL132,A75
AL133,A72
AL134,A18
AL134,A19
AL135,A76
AL136,A39
AL136,A77
AL136,A78
AL137,A79
AL137,A80
AL138,A81
AL139,A20
AL139,A82
AL140,A23
AL141,A59
AL142,A5
AL143,A72
AL144,A83
AL144,A84
AL145,A85
AL146,A6
AL147,A59
AL148,A86
AL149,A87
AL150,A12
AL151,A58
AL152,A88
AL153,A89
AL154,A90
AL154,A91
AL154,A92
AL155,A93
AL156,A94
AL157,A95
AL157,A96
AL158,A29
AL159,A97
AL160,A98
AL161,A5
AL162,A99
AL162,A100
AL162,A101
AL163,A102
AL164,A37
AL165,A13
AL166,A33
AL56,A103
AL167,A45
AL168,A3
AL169,A13
AL169,A104
AL170,A17
AL171,A105
AL172,A103
AL173,A2
AL174,A103
AL175,A13
AL176,A106
AL177,A18
AL177,A19
AL178,A39
AL178,A77
AL178,A78
AL179,A8
AL180,A87
AL180,A107
AL181,A54
AL182,A108
AL183,A37
AL184,A59
AL185,A54
AL186,A106
AL187,A20
AL187,A109
AL188,A43
AL189,A54
AL190,A110
AL70,A111
AL191,A112
AL192,A113
AL193,A114
AL194,A115
AL195,A116
AL196,A116
AL197,A50
AL198,A50
AL199,A32
AL200,A117
AL201,A103
AL202,A102
AL203,A20
AL203,A118
AL204,A13
AL205,A97
AL206,A10
AL207,A119
AL208,A38
AL209,A120
AL210,A121
AL211,A5
AL212,A72
AL213,A37
AL214,A18
AL214,A19
AL215,A18
AL215,A19
AL216,A5
AL217,A121
AL218,A122
AL219,A86
AL220,A123
AL221,A124
AL222,A5
AL223,A125
AL224,A6
AL225,A126
