artist_id,artist_name
A1,Gen Hoshino
A2,Ben Woodward
A3,Ingrid Michaelson
A4,ZAYN
A5,Kina Grannis
A6,Chord Overstreet
A7,Tyrone Wells
A8,A Great Big World
A9,Christina Aguilera
A10,Jason Mraz
A11,Colbie Caillat
A12,Ross Copperman
A13,Zack Tabudlo
A14,Dan Berk
A15,Anna Hamilton
A16,Deepend
A17,Landon Pigg
A18,Andrew Foy
A19,Renee Foy
A20,Boyce Avenue
A21,Bea Miller
A22,Jennel Garcia
A23,Brandi Carlile
A24,Sam Smith
A25,KT Tunstall
A26,Eddie Vedder
A27,Lucius
A28,Highland Peak
A29,Motohiro Hata
A30,Andrew Belle
A31,Ron Pope
A32,Adam Christopher
A33,Aron Wright
A34,Sara Bareilles
A35,Kurt Cobain
A36,Tim Halperin
A37,Canyon City
A38,Aaron Espe
A39,Tyler Ward
A40,Five For Fighting
A41,Bailey Jehl
A42,Nusrat Fateh Ali Khan
A43,Drew Holcomb & The Neighbors
A44,Gabrielle Aplin
A45,The Civil Wars
A46,Callum J Wright
A47,Fifth Harmony
A48,JP Cooper
A49,Mone Kamishiraishi
A50,John Adams
A51,Kitri
A52,Augustana
A53,Matthew Perryman Jones
A54,Ray LaMontagne
A55,Sierra Ferrell
A56,Meg Birch
A57,Catherine Feeny
A58,Joshua Hyslop
A59,JJ Heller
A60,Howie Day
A61,Ben Rector
A62,Matt Nathanson
A63,Rachael Yamagata
A64,Parachute
A65,Susie Suh
A66,Robot Koch
A67,Lindsey Stirling
A68,Eden Elf
A69,Ren Avel
A70,Rachel Grae
A71,Cary Brothers
A72,The Mayries
A73,Joseph Sullinger
A74,Yonnyboii
A75,Tobey Rosen
A76,Aqualung
A77,Karis
A78,Ray Lorraine
A79,Agustín Amigó
A80,Nylonwings
A81,Amy Stroup
A82,Connie Talbot
A83,Caleb Santos
A84,Viva Music Publishing Inc.
A85,Priscilla Ahn
A86,Jon Bryant
A87,Donovan Woods
A88,Angelina Cruz
A89,Stephen Speaks
A90,The Weepies
A91,Deb Talan
A92,Steve Tannen
A93,Freddie King
A94,Taj Mahal
A95,Keb' Mo'
A96,Gerald Albright
A97,Thomas Daniel
A98,Masayoshi Yamazaki
A99,Todd Carey
A100,Ariza
A101,Chuck Leavell
A102,YUZU
A103,Jonah Baker
A104,Billkin
A105,Anna Nalick
A106,Us The Duo
A107,Tenille Townes
A108,Megan Davies
A109,Megan Nicole
A110,Amos Lee
