track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
5SuOikwiRyPMVoIQDJUgSV,0.676,0.461,1.0,-6.746,0.0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4.0,acoustic
4qPNDBW1i3p13qLCt0Ki3A,0.42,0.166,1.0,-17.235,1.0,0.0763,0.924,5.56e-06,0.101,0.267,77.489,4.0,acoustic
1iJBSr7s7jYXzM8EGcbK5b,0.438,0.359,0.0,-9.734,1.0,0.0557,0.21,0.0,0.117,0.12,76.332,4.0,acoustic
6lfxq3CG4xtTiEg7opyCyx,0.266,0.0596,0.0,-18.515,1.0,0.0363,0.905,7.07e-05,0.132,0.143,181.74,3.0,acoustic
5vjLSffimiIP26QG5WcN2K,0.618,0.443,2.0,-9.681,1.0,0.0526,0.469,0.0,0.0829,0.167,119.949,4.0,acoustic
01MVOl9KtVTNfFiBU9I7dc,0.688,0.481,6.0,-8.807,1.0,0.105,0.289,0.0,0.189,0.666,98.017,4.0,acoustic
6Vc5wAMmXdKIAM7WUoEb7N,0.407,0.147,2.0,-8.822,1.0,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3.0,acoustic
1EzrEOXmMH3G43AXT1y7pA,0.703,0.444,11.0,-9.331,1.0,0.0417,0.559,0.0,0.0973,0.712,150.96,4.0,acoustic
0IktbUcnAGrvD03AWnz3Q8,0.625,0.414,0.0,-8.7,1.0,0.0369,0.294,0.0,0.151,0.669,130.088,4.0,acoustic
7k9GuJYLp2AzqokyEdwEw2,0.442,0.632,1.0,-6.77,1.0,0.0295,0.426,0.00419,0.0735,0.196,78.899,4.0,acoustic
4mzP5mHkRvGxdhdGdAH7EJ,0.627,0.363,8.0,-8.127,1.0,0.0291,0.279,0.0,0.0928,0.301,99.905,4.0,acoustic
5ivF4eQBqJiVL5IAE9jRyl,0.483,0.303,4.0,-10.058,1.0,0.0429,0.694,0.0,0.115,0.139,133.406,3.0,acoustic
4ptDJbJl35d7gQfeNteBwp,0.489,0.314,7.0,-9.245,0.0,0.0331,0.749,0.0,0.113,0.607,124.234,4.0,acoustic
0X9MxHR1rTkEHDjp95F2OO,0.691,0.234,3.0,-6.441,1.0,0.0285,0.777,0.0,0.12,0.209,87.103,4.0,acoustic
4LbWtBkN82ZRhz9jqzgrb3,0.755,0.78,2.0,-6.084,1.0,0.0327,0.124,2.83e-05,0.121,0.387,120.004,4.0,acoustic
1KHdq8NK9QxnGjdXb55NiG,0.489,0.561,4.0,-7.933,1.0,0.0274,0.2,4.56e-05,0.179,0.238,83.457,3.0,acoustic
6xKeQgzfjixSUld14qUezm,0.706,0.112,2.0,-18.098,1.0,0.0391,0.827,4.03e-06,0.125,0.414,110.154,4.0,acoustic
4Yo0igmcoNyat1secaH0OD,0.795,0.0841,10.0,-18.09,0.0,0.0461,0.742,1.17e-05,0.0853,0.609,91.803,4.0,acoustic
2qLMf6TuEC3ruGJg4SMMN6,0.625,0.414,0.0,-8.7,1.0,0.0369,0.294,0.0,0.151,0.669,130.088,4.0,acoustic
6CgNoAbFJ4Q4Id4EjtbXlC,0.717,0.32,3.0,-8.393,1.0,0.0283,0.83,0.0,0.107,0.322,107.946,4.0,acoustic
3S0OXQeoh0w6AY8WQVckRW,0.703,0.444,11.0,-9.331,1.0,0.0417,0.559,0.0,0.0973,0.712,150.96,4.0,acoustic
210JCw2LbYD4YIs8GiZ9iP,0.678,0.351,0.0,-8.654,1.0,0.0266,0.747,0.0,0.355,0.569,90.032,4.0,acoustic
5TvE3pk05pyFIGdSY9j4DJ,0.407,0.147,2.0,-8.822,1.0,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3.0,acoustic
0BUuuEvNa5T4lMaewyiudB,0.572,0.454,3.0,-10.286,1.0,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,4.0,acoustic
3Hn3LfhrQOaKihdCibJsTs,0.796,0.667,5.0,-4.831,0.0,0.0392,0.381,0.0,0.221,0.754,97.988,4.0,acoustic
6D33wCKzWtNEgOovgeVJ7r,0.755,0.454,9.0,-9.609,0.0,0.0352,0.757,0.0,0.236,0.33,120.06,4.0,acoustic
5IfCZDRXZrqZSm8AwE44PG,0.62,0.309,5.0,-9.209,1.0,0.0495,0.788,0.0,0.146,0.664,145.363,4.0,acoustic
0dzKBptH2P5j5a0MifBMwM,0.633,0.429,4.0,-6.784,0.0,0.0381,0.0444,0.0,0.132,0.52,143.793,4.0,acoustic
5QAMZTM5cmLg3fHX9ZbTZi,0.62,0.309,5.0,-9.209,1.0,0.0495,0.788,0.0,0.146,0.664,145.363,4.0,acoustic
2qESE1ZeWly7I3YjyTXmXh,0.62,0.309,5.0,-9.209,1.0,0.0495,0.788,0.0,0.146,0.664,145.363,4.0,acoustic
3EQV1ZHtHvq9OnVRYIdbg3,0.62,0.309,5.0,-9.209,1.0,0.0495,0.788,0.0,0.146,0.664,145.363,4.0,acoustic
3ax0rfGb7exLtl02LL08U9,0.62,0.309,5.0,-9.209,1.0,0.0495,0.788,0.0,0.146,0.664,145.363,4.0,acoustic
1m5LC29RE52Bxy7hxvpOlL,0.593,0.455,6.0,-8.192,1.0,0.0388,0.366,0.0,0.0914,0.564,202.019,4.0,acoustic
3H36x7buZdQD4687VmFrwY,0.296,0.206,0.0,-11.799,1.0,0.0412,0.782,0.000225,0.0959,0.202,165.4,4.0,acoustic
0xbMRcMFqxJq1Wa7tvWPtn,0.296,0.206,0.0,-11.799,1.0,0.0412,0.782,0.000225,0.0959,0.202,165.4,4.0,acoustic
6h061f44HZPj1OXO2nA45d,0.296,0.206,0.0,-11.799,1.0,0.0412,0.782,0.000225,0.0959,0.202,165.4,4.0,acoustic
62EwQLDw0dprDzuLwQ0sH1,0.409,0.153,6.0,-10.74,0.0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,4.0,acoustic
3lvo0I8c2qBJDLZWqExDgC,0.501,0.0952,2.0,-12.931,1.0,0.054,0.963,1.58e-05,0.0915,0.316,138.016,4.0,acoustic
1ae8XfBQ3fDEvmBjFaemGV,0.606,0.326,10.0,-10.031,1.0,0.0294,0.841,0.0,0.139,0.414,91.626,4.0,acoustic
0adVktNVJXPZfhQe6B1NO5,0.409,0.153,6.0,-10.74,0.0,0.0306,0.939,2.56e-05,0.108,0.18,85.262,4.0,acoustic
6sp6Vx3sv2l5qxPfbQkcyt,0.474,0.519,7.0,-5.291,1.0,0.0253,0.281,0.0,0.107,0.326,151.832,4.0,acoustic
1WFVfVjCtbmdIv7j3Fa9iy,0.568,0.301,10.0,-10.163,0.0,0.0373,0.796,3.37e-06,0.118,0.142,88.029,4.0,acoustic
0e5PAxSyZ5DWWVqKANHETz,0.568,0.686,1.0,-6.635,1.0,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4.0,acoustic
1MLr9b1fOybO3MGiLy47Ys,0.568,0.686,1.0,-6.635,1.0,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4.0,acoustic
6JGjevTaqr9J1xp7YvYUKF,0.476,0.666,6.0,-3.438,1.0,0.0446,0.314,0.0,0.342,0.498,148.155,4.0,acoustic
7Af2YlwMZryKOQiRfwMsD2,0.568,0.686,1.0,-6.635,1.0,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4.0,acoustic
3RE5nHIVkC4KcA7snFaTKd,0.568,0.686,1.0,-6.635,1.0,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4.0,acoustic
0JvkNRyq8Tmot9khpdtN0I,0.568,0.686,1.0,-6.635,1.0,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4.0,acoustic
27gHtbsHClwimHFtKgFop4,0.568,0.686,1.0,-6.635,1.0,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4.0,acoustic
1QBNBGeIRRGBnLhdlHbfI8,0.568,0.686,1.0,-6.635,1.0,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4.0,acoustic
72xTsTouZ5nBmASX8k1XCW,0.596,0.2,0.0,-10.424,0.0,0.0305,0.91,0.000183,0.0884,0.308,107.893,4.0,acoustic
3ILmwMefYZoQh5Cf5jeuUQ,0.373,0.914,0.0,-4.185,1.0,0.0565,0.076,0.0,0.669,0.56,168.21,4.0,acoustic
2DHDuADAHoUW6n0z80RLQF,0.494,0.652,6.0,-5.863,0.0,0.0314,0.0754,0.00256,0.125,0.298,137.018,4.0,acoustic
5JDcQAztvZTIkrWoZihgvC,0.447,0.393,5.0,-8.65,1.0,0.038,0.785,0.0,0.28,0.564,73.139,3.0,acoustic
2sYFi9xVSZ56WHKSY2fN1K,0.576,0.331,6.0,-9.389,0.0,0.0306,0.894,3.44e-05,0.129,0.407,149.02,4.0,acoustic
6xJOhSm4SvZwzy3uhWz26O,0.536,0.89,1.0,-5.222,1.0,0.0375,0.078,0.0202,0.131,0.273,121.974,4.0,acoustic
7lLKxcNeJtDTWVRKHovLEC,0.526,0.333,4.0,-13.02,1.0,0.0314,0.91,0.168,0.111,0.159,94.951,4.0,acoustic
25UzeaV47eDT44Fovve6xQ,0.501,0.381,0.0,-9.448,1.0,0.036,0.687,0.00133,0.119,0.502,80.075,4.0,acoustic
4oa14QBfWRDfJy2agySy0L,0.27,0.275,0.0,-10.357,1.0,0.0356,0.834,0.0,0.146,0.231,168.964,4.0,acoustic
2gRKq9rIC5i1zuxp06zJWH,0.731,0.507,0.0,-6.477,1.0,0.046,0.572,0.0,0.0912,0.265,117.969,4.0,acoustic
08MFgEQeVLF37EyZ7jcwLc,0.375,0.457,3.0,-7.018,1.0,0.0315,0.868,0.0145,0.191,0.415,174.839,3.0,acoustic
6nXIYClvJAfi6ujLiKqEq8,0.43,0.791,6.0,-5.419,0.0,0.0302,0.0726,0.0193,0.11,0.217,171.864,4.0,acoustic
7x4b0UccXSKBWxWmjcrG2T,0.616,0.282,1.0,-15.317,1.0,0.0331,0.983,0.833,0.13,0.435,96.638,4.0,acoustic
