track_id,track_name,album_id,popularity,duration_ms,explicit
5SuOikwiRyPMVoIQDJUgSV,Comedy,AL1,73.0,230666.0,False
4qPNDBW1i3p13qLCt0Ki3A,Ghost - Acoustic,AL2,55.0,149610.0,False
1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,AL3,57.0,210826.0,False
6lfxq3CG4xtTiEg7opyCyx,Can't Help Falling In Love,AL4,71.0,201933.0,False
5vjLSffimiIP26QG5WcN2K,Hold On,AL5,82.0,198853.0,False
01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,AL6,58.0,214240.0,False
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,AL7,74.0,229400.0,False
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,AL8,80.0,242946.0,False
0IktbUcnAGrvD03AWnz3Q8,Lucky,AL8,74.0,189613.0,False
7k9GuJYLp2AzqokyEdwEw2,Hunger,AL9,56.0,205594.0,False
4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,AL10,74.0,244800.0,False
5ivF4eQBqJiVL5IAE9jRyl,I Won't Give Up,AL11,69.0,240165.0,False
4ptDJbJl35d7gQfeNteBwp,Solo,AL12,52.0,198712.0,False
0X9MxHR1rTkEHDjp95F2OO,Bad Liar,AL13,62.0,248448.0,False
4LbWtBkN82ZRhz9jqzgrb3,Hold On - Remix,AL14,56.0,188133.0,False
1KHdq8NK9QxnGjdXb55NiG,Falling in Love at a Coffee Shop,AL15,58.0,244986.0,False
6xKeQgzfjixSUld14qUezm,ily (i love you baby),AL16,56.0,129750.0,False
4Yo0igmcoNyat1secaH0OD,At My Worst,AL17,54.0,169728.0,False
2qLMf6TuEC3ruGJg4SMMN6,Lucky,AL8,68.0,189613.0,False
6CgNoAbFJ4Q4Id4EjtbXlC,Photograph,AL18,67.0,260186.0,False
3S0OXQeoh0w6AY8WQVckRW,I'm Yours,AL8,75.0,242946.0,False
210JCw2LbYD4YIs8GiZ9iP,Demons,AL19,63.0,174174.0,False
5TvE3pk05pyFIGdSY9j4DJ,Say Something,AL20,70.0,229400.0,False
0BUuuEvNa5T4lMaewyiudB,93 Million Miles,AL21,0.0,216386.0,False
3Hn3LfhrQOaKihdCibJsTs,Unlonely,AL22,0.0,231266.0,False
6D33wCKzWtNEgOovgeVJ7r,Bella Luna,AL23,1.0,302346.0,False
5IfCZDRXZrqZSm8AwE44PG,Winter Wonderland,AL24,0.0,131760.0,False
0dzKBptH2P5j5a0MifBMwM,If It Kills Me,AL25,0.0,273653.0,False
5QAMZTM5cmLg3fHX9ZbTZi,Winter Wonderland,AL26,0.0,131760.0,False
2qESE1ZeWly7I3YjyTXmXh,Winter Wonderland,AL27,0.0,131760.0,False
3EQV1ZHtHvq9OnVRYIdbg3,Winter Wonderland,AL28,0.0,131760.0,False
3ax0rfGb7exLtl02LL08U9,Winter Wonderland,AL29,0.0,131760.0,False
1m5LC29RE52Bxy7hxvpOlL,All I Want For Christmas Is A Real Good Tan,AL30,0.0,234186.0,False
3H36x7buZdQD4687VmFrwY,Party of One,AL22,0.0,259558.0,False
0xbMRcMFqxJq1Wa7tvWPtn,Party of One,AL25,0.0,259558.0,False
6h061f44HZPj1OXO2nA45d,Party of One,AL31,0.0,259558.0,False
62EwQLDw0dprDzuLwQ0sH1,Lonely This Christmas,AL32,0.0,257493.0,False
3lvo0I8c2qBJDLZWqExDgC,Throwing Good After Bad,AL33,0.0,247791.0,False
1ae8XfBQ3fDEvmBjFaemGV,This Time Tomorrow,AL21,0.0,206267.0,False
0adVktNVJXPZfhQe6B1NO5,Lonely This Christmas,AL34,0.0,257493.0,False
6sp6Vx3sv2l5qxPfbQkcyt,The Haves,AL35,0.0,306794.0,False
1WFVfVjCtbmdIv7j3Fa9iy,When You're Wrong,AL23,0.0,266960.0,False
0e5PAxSyZ5DWWVqKANHETz,You and Me on the Rock,AL36,0.0,230098.0,False
1MLr9b1fOybO3MGiLy47Ys,You and Me on the Rock,AL37,0.0,230098.0,False
6JGjevTaqr9J1xp7YvYUKF,"Speak Your Mind (From the Netflix Series ""We The People"")",AL38,0.0,193943.0,False
7Af2YlwMZryKOQiRfwMsD2,You and Me on the Rock,AL39,0.0,230098.0,False
3RE5nHIVkC4KcA7snFaTKd,You and Me on the Rock,AL40,0.0,230098.0,False
0JvkNRyq8Tmot9khpdtN0I,You and Me on the Rock,AL41,0.0,230098.0,False
27gHtbsHClwimHFtKgFop4,You and Me on the Rock,AL42,0.0,230098.0,False
1QBNBGeIRRGBnLhdlHbfI8,You and Me on the Rock,AL43,0.0,230098.0,False
72xTsTouZ5nBmASX8k1XCW,Trampoline - Acoustic,AL44,46.0,213098.0,False
3ILmwMefYZoQh5Cf5jeuUQ,透明だった世界,AL45,61.0,232360.0,False
2DHDuADAHoUW6n0z80RLQF,Pieces,AL46,60.0,241119.0,False
5JDcQAztvZTIkrWoZihgvC,A Drop in the Ocean,AL47,68.0,220239.0,False
2sYFi9xVSZ56WHKSY2fN1K,So Far Away - Acoustic,AL48,52.0,171543.0,False
6xJOhSm4SvZwzy3uhWz26O,The Enemy,AL46,62.0,286865.0,False
7lLKxcNeJtDTWVRKHovLEC,Build It Better,AL49,51.0,234473.0,False
25UzeaV47eDT44Fovve6xQ,Sleepwalking in the Rain,AL50,0.0,216000.0,False
4oa14QBfWRDfJy2agySy0L,Gravity,AL51,67.0,232760.0,False
2gRKq9rIC5i1zuxp06zJWH,What's Left of You,AL52,57.0,178600.0,True
08MFgEQeVLF37EyZ7jcwLc,Pano,AL53,75.0,254400.0,False
6nXIYClvJAfi6ujLiKqEq8,Sky's Still Blue,AL54,62.0,244320.0,False
7x4b0UccXSKBWxWmjcrG2T,And I Love Her,AL55,66.0,124933.0,False
6owKuyHxUqidcAA6fPKSyy,We Can't Stop,AL19,64.0,222146.0,False
0wbmIfvndFV9VDvuUY1pYN,Always Be My Baby,AL56,62.0,181852.0,False
3e5yu9MkIvQx17mm7LF6KY,Alone with You,AL57,58.0,186584.0,False
6VwAh8Z1d5YKoSWoEaV4db,Making All Things New,AL58,65.0,159600.0,False
2D4BSm5Z8Hq5zYbSgJwEOh,She Used To Be Mine,AL59,67.0,250266.0,False
7LwGBxB0h0CVmkOZxYKn0g,In My Veins - Feat. Erin Mccarley,AL60,65.0,318908.0,False
0ZwdH0m32I8odedwvspYTh,I Don't Wanna Live Forever (Fifty Shades Darker),AL61,44.0,222351.0,False
16dkWKIlBsfYTISCVuDs0w,A Drop In the Ocean,AL62,55.0,219480.0,False
3TwtrR1yNLY1PMPsrGQpOp,Superman (It's Not Easy),AL63,70.0,221693.0,False
3Et4LKZLnXygPYfNdeB3D3,When the End Comes,AL64,57.0,354400.0,False
2E9viCx0hJKNKNThd2MdGQ,You're Still The One,AL65,56.0,177500.0,False
0Zf1BPkkFAWGtVHeBwHHz4,Light Me Up,AL66,56.0,247840.0,False
38jy6kRlPt8z1GUS9WXeNh,93 Million Miles,AL11,67.0,216386.0,False
